,status,mites,Carnica,Unknown,Buckfast + Carnica,Hybrid,Buckfast,Swarm,Queens,PRE_None,PRE_Thymol,PRE_OA,PRE_Fluvalinate,PRE_MO,PRE_Coumaphos,PRE_Amitraz,WIN_None,WIN_Thymol,WIN_OA,WIN_Heat,WIN_MO,WIN_Coumaphos,WIN_Chlorophenyl,POST_None,POST_Thymol,POST_OA,POST_Fluvalinate,AMFVload,BMLVload,thogload,thikaload,uncload,vdvload,dwvload,Numvir
12_7,Healthy,2.846685645,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1700.82,0,0,0,0,8178.13,27347.21,3
12_70,Healthy,6.261343013,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1558.84,0,0,0,0,0,451149.27,2
12_71,WL,4.27019367,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2512.22,0,0,0,0,33900000,4570000,3
12_72,WL,11.66243194,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,26604.32,330082.39,2
12_73,WL,4.291187739,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4089.12,0,0,0,0,1.37e+08,2e+07,3
12_74,Healthy,0.603661554,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16201.58,9740.25,2
12_75,WL,9.416342412,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2008.83,0,0,0,0,37722.82,0,2
12_76,Healthy,0.722499458,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2676.81,0,4116.75,0,0,10904.84,0,3
12_77,WL,9.747003995,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5790.53,45661.76,0,0,0,5.53e+09,40900000,4
12_78,Healthy,0.486555698,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,20765.32,0,294139.8,1270000,3
12_79,Healthy,2.874951305,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1410.05,0,0,0,0,312595.38,186684.11,3
12_8,WL,9.631715771,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15285.5,0,0,0,0,32666.12,11632.68,3
12_80,WL,22.16350124,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1219.84,0,0,0,0,53970.49,396259.14,3
12_81,WL,8.968944099,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10485.01,0,0,0,0,2.66e+08,41600000,3
12_82,WL,4.087591241,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11117.51,26526.42,3972.5,0,0,6.79e+08,4670000,5
12_83,Healthy,0.905172414,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10770.18,0,0,0,0,13113.62,14754.19,3
12_84,Healthy,2.635938063,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2510.24,0,0,0,0,623609,3379.5,3
12_85,Healthy,2.750554547,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,42160.51,0,0,3932.38,0,1690000,2380000,4
12_86,WL,7.911239749,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4414.96,0,0,0,0,2130000,63968.78,3
12_87,Healthy,7.420612813,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,22462.76,44207.66,0,0,0,34700000,1.55e+09,4
12_88,WL,1.492178099,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,23093.07,1908.06,0,0,0,418032.58,319823.41,4
