Index,CODA,Werklijst,Ugentnummer,Staalnummer,FAVV,Sample,Colony Nr.,Province,Status,Race,Postcode,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
39,1097,6,3,2012/21584,1081120103,12_39,1,Vl-Br.,Healthy,Carnica,2950,4.431231831,51.332759,Kapellen,2.846685645,OA+Amitraz,OA,Thymol+Fluvalinate,12
4,881,4,56,2012/21440,2196120048,12_4,2,Antwerpen,WL,Carnica,2540,4.477387,51.1486117,Hove,2.75210084,OA,OA,OA,12
40,1097,6,4,2012/21585,1081120104,12_40,2,Vl-Br.,Healthy,Carnica,2950,4.431231831,51.332759,Kapellen,9.631715771,OA+Amitraz,OA,Thymol+Fluvalinate,12
41,1097,6,8,2012/21593,1081120106,12_41,4,Vl-Br.,WL,Carnica,2950,4.431231831,51.332759,Kapellen,36.21331545,OA+Amitraz,OA,Thymol+Fluvalinate,12
42,1097,6,10,2012/21597,1081120107,12_42,5,Vl-Br.,WL,Carnica,2950,4.431231831,51.332759,Kapellen,0,OA+Amitraz,OA,Thymol+Fluvalinate,12
43,2330,18,4,2012/22844,2196120023,12_43,1,Antwerpen,Healthy,Buckfast + Carnica,2530,4.510406865,51.1596941,Boechout,0,Thymol+MO,MO,None,12
44,2330,18,5,2012/22845,2196120024,12_44,2,Antwerpen,Healthy,Buckfast + Carnica,2530,4.510406865,51.1596941,Boechout,3.215258856,Thymol+MO,MO,None,12
45,2330,18,6,2012/22846,2196120025,12_45,3,Antwerpen,WL,Buckfast + Carnica,2530,4.510406865,51.1596941,Boechout,0,Thymol+MO,MO,None,12
46,2330,18,8,2012/22848,2196120026,12_46,4,Antwerpen,WL,Buckfast + Carnica,2530,4.510406865,51.1596941,Boechout,1.475409836,Thymol+MO,MO,None,12
47,2852,4,23,2012/21393,2014120064,12_47,2,Oost-Vl,Healthy,Buckfast,9790,3.532983112,50.845989,Wortegem-petegem,5.01984127,OA,OA,None,12
48,2852,4,27,2012/21402,2014120067,12_48,5,Oost-Vl,Healthy,Buckfast,9790,3.532983112,50.845989,Wortegem-petegem,3.481822837,OA,OA,None,12
49,2852,4,22,2012/21391,2014120063,12_49,1,Oost-Vl,WL,Buckfast,9790,3.532983112,50.845989,Wortegem-petegem,6.326383896,OA,OA,None,12
5,1246,19,1,2012/22916,2460120091,12_5,1,West-Vl,Healthy,Unknown,8340,3.292091113,51.2553021,Damme,0.246322272,Thymol,None,None,12
50,2852,4,25,2012/21398,2014120065,12_50,3,Oost-Vl,WL,Buckfast,9790,3.532983112,50.845989,Wortegem-petegem,11.71953255,OA,OA,None,12
51,765,16,1,2012/22555,2460120068,12_51,1,West-Vl,Healthy,Unknown,8480,3.023122345,51.12819605,Eernegem,0.983949756,OA,OA,OA,12
52,765,16,2,2012/22564,2460120069,12_52,2,West-Vl,WL,Unknown,8480,3.023122345,51.12819605,Eernegem,7.090475157,OA,OA,OA,12
53,1586,12,50,2012/22156,2196120074,12_53,1,Antwerpen,Healthy,Carnica,2250,4.8597257,51.1438611,Olen,7.337142857,OA,OA,OA,12
54,1586,12,47,2012/22147,2196120078,12_54,4,Antwerpen,WL,Carnica,2250,4.8597257,51.1438611,Olen,0.514191691,OA,OA,OA,12
55,1925,1,1,2012/21245,1081120082,12_55,1,Vl-Br.,WL,Carnica,3272,4.948470729,51.0192772,Testelt,1.238198421,OA,OA,OA,12
56,1925,1,2,2012/21256,1081120083,12_56,2,Vl-Br.,Healthy,Carnica,3272,4.948470729,51.0192772,Testelt,0.43251305,OA,OA,OA,12
57,2022,9,9,2012/21849,2160120024,12_57,1,Vl-Br.,WL,Hybrid,3090,4.5385226,50.7729254,Overijse,8.887458151,OA,OA,None,12
58,2022,9,10,2012/21852,2160120025,12_58,2,Vl-Br.,Healthy,Hybrid,3090,4.5385226,50.7729254,Overijse,5.389982111,OA,OA,None,12
59,2365,5,4,2012/21546,2550120095,12_59,1,Limburg,WL,Carnica,3680,5.791733,51.0947181,Maaseik,0,None,OA,Thymol,12
6,1246,19,2,2012/22919,2460120092,12_6,2,West-Vl,WL,Unknown,8340,3.292091113,51.2553021,Damme,0.773722628,Thymol,None,None,12
60,2365,5,3,2012/21545,2550120096,12_60,2,Limburg,Healthy,Carnica,3680,5.791733,51.0947181,Maaseik,4.188018433,None,OA,Thymol,12
61,2674,6,13,2012/21602,2550120099,12_61,1,Limburg,Healthy,Carnica,3665,5.572202585,51.0005396,As,0.603661554,Thymol,Thymol,None,12
