,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
90,12_11,thog,0,West-Vl,WL,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
91,12_11,thika,0,West-Vl,WL,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
92,12_110,thog,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
93,12_110,dwv,238166.36,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
94,12_110,AMFV,130078.69,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
95,12_110,bmlv,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
96,12_110,vdv,243002.46,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
97,12_110,Unc,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
98,12_110,thika,0,West. Vl.,WL,Hybrid,3.090295389,51.1846386,Jabbeke,0,None,None,None,12
99,12_111,bmlv,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
100,12_111,AMFV,52624.19,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
101,12_111,thog,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
102,12_111,dwv,5325.61,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
103,12_111,Unc,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
104,12_111,thika,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
105,12_111,vdv,9794.98,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
106,12_112,AMFV,116976.18,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
107,12_112,dwv,43300000,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
108,12_112,Unc,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
109,12_112,thika,5559.48,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
110,12_112,bmlv,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
111,12_112,thog,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
112,12_112,vdv,13100000,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,3.337299227,OA,OA,OA,12
113,12_113,thika,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
114,12_113,thog,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
115,12_113,AMFV,116367.39,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
116,12_113,bmlv,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
117,12_113,Unc,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
118,12_113,dwv,16127.78,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
119,12_113,vdv,25282.81,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.171632569,OA,OA,OA,12
120,12_114,AMFV,105798.88,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
121,12_114,bmlv,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
122,12_114,vdv,6096.93,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
123,12_114,thog,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
124,12_114,thika,3741.92,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
125,12_114,dwv,8849.83,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
126,12_114,Unc,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0,OA,OA,OA,12
127,12_115,bmlv,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
128,12_115,thog,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
129,12_115,AMFV,61804.7,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
130,12_115,dwv,6332.44,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
131,12_115,vdv,2313.91,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
132,12_115,Unc,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
133,12_115,thika,7775.75,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.182466144,OA,OA,OA,12
134,12_116,thog,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
135,12_116,dwv,1954.23,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
136,12_116,vdv,1315.7,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
137,12_116,AMFV,53355.98,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
138,12_116,thika,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
139,12_116,bmlv,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
140,12_116,Unc,0,Vl.Br.,Healthy,Hybrid,4.195149073,50.8363077,Schepdaal,0.905577029,OA,OA,OA,12
141,12_117,dwv,4637.46,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
142,12_117,thika,0,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
143,12_117,thog,0,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
144,12_117,vdv,6.84e+08,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
145,12_117,AMFV,55014.81,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
146,12_117,Unc,0,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
147,12_117,bmlv,3099.22,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,3.404167526,Thymol,None,Fluvalinate,12
148,12_118,AMFV,26059.64,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
149,12_118,thog,0,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
150,12_118,vdv,250663.15,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
151,12_118,dwv,2993.55,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
152,12_118,Unc,0,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
153,12_118,thika,0,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
154,12_118,bmlv,0,Limburg,WL,Carnica,5.3076895,51.2305657,Lommel,0,Thymol,None,Fluvalinate,12
155,12_119,Unc,0,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
