	apis mellifera filamentous virus	apis orthomyxovirus 1 - PB1	apis orthomyxovirus 1 - GP	apis orthomyxovirus 1 - PB2	apis orthomyxovirus 1 - M	apis orthomyxovirus 1 - PA	apis orthomyxovirus 1 - NP	apthili virus	apparli virus	bee-macula like virus	deformed wing virus/varroa-destructor virus 1
BeeP-Q2-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3234305410536489	3.8637809399900234
BP10	0.1459690508982776	0.08540569429214043	0.2770709994077349	0.08072738143436062	0.39524596273057394	0.09346072165498744	0.21189607018482215	2.027087156830728	0.0647727190217793	2.210957432124372	3.909339083503016
BP11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7803465854754406	0.0	0.6430140244334914	2.4100162248611654
BP12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.100863191982283	1.0798655678105953	3.0514831721652302	3.8014819193998153
BP13	0.0	0.0	0.5542239529587322	0.11244833282668408	0.5869908748913991	0.0	0.0	3.955293516481429	2.064265429269443	2.2375782080472058	2.4646245724060822
BP14	0.0	0.0	0.0	0.0	0.012795862164941435	0.0	0.0	1.0337899097977223	1.0246090978236988	0.40982833502380983	3.89187243728885
BP15	0.9530964430258434	0.0	0.7003957686124747	0.22772191355911386	0.6374698621471464	0.0	0.3141091575297945	2.5309189494031155	3.469510534931139	0.7164878341142265	1.8944372357553394
BP16	0.0	0.0	0.6643553031190038	0.0	1.1149593926495278	0.0	0.0	2.286276553067983	3.6142603824241144	0.12247954355963064	2.289451029231008
BP17	0.0	0.0	1.0766768040907104	0.0	1.003868779227448	0.0	0.0	4.594489191768954	1.391552027704703	2.471863489786742	3.1479151444370452
BP18	0.3753490669626554	0.0	0.48369076745182954	0.0	0.0	0.0	0.0	3.4184566803318024	0.3234202667239609	0.10599009120552916	3.6899020131486697
BP19	0.7315442447244338	0.0	0.6754535551961003	0.0	1.1280093560516404	0.0	0.0	4.35239771523866	0.8487564348170874	1.3210126360875802	3.6694979518036814
BP1	0.7930566610896648	0.5836505464919153	0.0	0.0	0.0	0.0	0.0	3.4754988705765486	0.4910028109315106	0.7572810060467366	2.9549124194062264
BP20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0233128378995417	0.0	0.6647845766624453	3.965055134536017
BP21	0.0	1.2120437064724299	1.5950045184500024	1.5065023848216401	1.5224413036155153	1.0834913334145952	1.566235720441242	1.0957563078410832	3.720362576656932	0.3868039274608293	3.8076278178780454
BP22	0.0	0.0	0.0	0.0	0.0941424559070327	0.0	0.0	0.6867462434774002	0.0	0.8901499654985966	2.0541449100114306
BP23	0.5019070197037147	0.339224205386831	0.4184501495635929	0.0	0.8055903943624205	0.5582280350408916	0.4334452593605906	2.5244338701847076	0.9036000557370066	0.0	2.9157553098700513
BP24	0.4501983286160649	0.5088380686713178	1.3492140145850025	0.8758408531245112	0.9755521422094737	0.683766010887096	1.4771911538986886	2.0156579806747414	0.45202893583247017	0.39182232167026976	3.5668420005408437
BP25	0.10003091645220205	0.0	0.0	0.0	0.0	0.0	0.0	1.8860490232511853	0.0	0.34224029941213674	4.713324386678865
BP26	0.0	0.06018065929877431	0.08044650631313854	0.0	0.0	0.0	0.0	2.0666190102734148	0.1238539653591849	0.07644870946091135	4.310516009656977
BP27	0.430974008738203	0.0	0.1024994084498076	0.07289307316478863	0.15917416352420558	0.0	0.0	2.4177032100234315	0.0583841181443039	1.5312416454240148	3.866442961613801
BP28	0.11268882591708924	0.0	0.0	0.0	0.0	0.0	0.0	0.8136867460624952	2.147838753737823	0.16938831913734903	3.686457825132156
BP29	0.0	0.0	0.8582934604577898	0.0	1.054518308815512	0.0	0.0	3.590374956919563	1.0445428318042356	0.8875598935019123	2.840330304963859
BP2	0.0	0.1796614845546458	0.5804854590125375	0.1707399736949235	0.0	0.0	0.32471034725125564	2.5829964038623148	5.53510515504023	0.7516364152414917	2.629071312714246
BP30	0.0	2.7917753127575513	2.943576426184627	2.978278862685203	2.75799118238475	2.410104978151846	2.6038041513294474	3.160615447512625	1.3023602085798858	1.0223935182820254	3.3854226426391496
BP31	1.1250201743430581	0.4277593300603519	1.0963937454473833	0.4111137081540353	1.095529505836062	0.9250250039665566	0.5349787768190366	2.8174736639803046	2.4399739175272415	2.704917758901161	3.5453200866744665
BP32	0.11448195435497562	2.273134230741254	3.052164765506879	2.646883322967535	2.7026474126218587	2.4351791539552834	2.4885139484935372	0.5998641947766922	0.0	0.13489291828303132	3.8844420888692763
BP33	1.3153126906765003	1.3502413676902327	2.247477950285449	0.0	1.6965949949325714	1.8569160306945187	1.7988445913903353	1.2079508785146629	1.8085602291781329	1.393629717082468	2.760062212491775
BP34	0.0	0.0	0.0	0.06386889563668417	0.0	0.0	0.0	2.3381913057079746	0.0	0.0	4.33601168187642
BP35	0.24081269642064082	0.0	0.21240430624758877	0.0	0.0	0.0	0.0	3.196672453433562	0.0	0.0	0.16492466998855698
BP36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09114471630756533	0.0	0.1498684441164913	3.5999432745997977
BP37	0.0	0.0	0.0	0.0	0.1433954551887126	0.0	0.09642411116192005	1.9932510043219458	0.0	0.0	4.255102144714969
BP38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06774633875090774	0.0	0.0	4.017915306960966
BP39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3019434884319776	0.0	0.29525792014962504	3.959304002883647
BP3	0.9146939108195685	0.0	0.0	1.8443827552699967	0.0	0.0	0.9331840577194954	4.271787148448567	0.0	0.4678629067440055	1.9262714135151042
BP40	0.0	0.10370090245493062	0.2840151428732829	0.13996390492086577	0.1645259062956274	0.08759878736856429	0.250536688083177	1.2167788333813014	0.07903829828409227	1.2046051770221815	3.8823004641219603
BP41	0.0	0.3745694727466034	0.5361478945628741	0.3340865316289099	0.16660562990532818	0.139295099560281	0.4885425903037217	1.1727319906759384	0.08013692167302777	1.0834413102708274	3.985128926590475
BP42	0.0	0.3942997366934626	0.7170355384246999	0.37846341207286394	0.725180097494346	0.20093945364046853	0.6458493453284327	0.0	0.0	0.02762358191852821	4.09213384892756
BP43	0.0	0.0	0.6521021502556623	0.0	0.8326122047473066	0.0	0.0	2.547591185079663	0.0	0.1677167264549687	2.0099997107006944
BP44	0.0	0.0	0.328597059525644	0.15576085850734192	0.0	0.0	0.0	1.8581675062424787	0.05532711779373133	0.8859452437208722	4.204501773725516
BP45	0.0	0.0	0.7330907606391486	0.0	0.0	0.0	0.0	2.2841636325327754	3.53593356481499	0.6603043803542751	2.928893876102398
BP46	0.0	3.863571413308813	4.0843111821559255	4.1304464179705365	3.9193427380768058	3.323270356255807	3.6548797769813146	2.145806849509903	0.0	0.0	3.996823794919969
BP47	0.036490006278666366	2.1330521772875874	2.9185324676176934	3.0626714457748423	2.977400599400911	2.644136951742315	2.5899780591161985	0.10377391551337159	0.0	2.2951023484094937	3.9030410177360726
BP48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.504613121930198	3.1188750247262362	2.182612732526233	3.6647427085437965
BP49	0.0	1.5733408742357315	2.179433657499487	1.4472743719427195	1.4263559105775723	1.219130436928005	1.516391228688486	2.876797918870242	0.0	0.9142396057386903	3.970565456730146
BP4	0.2622740150097235	0.27926395891553485	0.5404068841176842	0.0	0.0	0.0	0.0	2.8631602385734753	3.058494402115161	0.6847487309810184	3.5813791901243555
BP50	2.008346323811508	0.0	0.0	0.0	0.0	1.0457797685040582	0.0	2.3383271179287064	0.0	0.9761392376180618	1.5879631600948296
BP5	0.0	0.0	0.0	0.16673685016253892	0.514220944094214	0.0	0.0	0.9863413363071026	5.418314959345262	1.0429822586448998	2.702273118013666
BP6	0.0	0.0	0.0	0.018420768274490167	0.15223581114805979	0.021572833956506485	0.0	0.09692643798222728	3.9435298839773774	0.0	4.210278676200767
BP7	0.0	0.5257792933697233	1.193654680031994	1.1818536016590064	1.047070553921682	0.712535743925289	0.8632244645837136	0.143808923337122	4.19555783653233	0.01217096242096962	4.007037135577535
BP8	0.0	0.07055531283682671	0.07831507397061384	0.08315700547444382	0.08603616869790562	0.02249193846194521	0.11449394898540852	0.04815088833236628	1.0718977418296278	1.027253073123517	4.1497684301517115
BP9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6507560511828593	0.0	0.3817654969680332	4.321771680317506
