sample	colony_id	lat	lon	commune	status_year
13_148	1841	4.6386824	50.9769286	haacht	healthy_13
13_149	237	3.463734552	50.844003	anzegem	healthy_13
13_15	35	3.124765	50.9444948	roeselare	healthy_13
13_150	1270	3.463734552	50.844003	anzegem	healthy_13
13_16	35	3.124765	50.9444948	roeselare	wl_13
13_17	1207	4.0242373	50.8353611	ninove	healthy_13
13_18	1207	4.0242373	50.8353611	ninove	wl_13
13_19	1327	3.9775435	50.9660758	lede	healthy_13
13_2	1063	5.449157219	51.10874	peer	wl_13
13_20	1327	3.9775435	50.9660758	lede	wl_13
13_21	1375	3.756807666	51.23004155	assenede	wl_13
13_22	1375	3.756807666	51.23004155	assenede	healthy_13
13_23	1672	2.891477451	50.851808	ieper	healthy_13
13_24	1672	2.891477451	50.851808	ieper	wl_13
13_25	2214	5.203424912	50.82694775	sint-truiden	healthy_13
13_26	2214	5.203424912	50.82694775	sint-truiden	wl_13
13_27	2263	3.124765	50.9444948	roeselare	wl_13
13_28	2263	3.124765	50.9444948	roeselare	healthy_13
13_29	2315	4.4980446	51.2516344	schoten	healthy_13
13_3	1463	4.8245687	50.9841594	aarschot	wl_13
13_30	2315	4.4980446	51.2516344	schoten	wl_13
13_31	2379	3.8574284	51.1701927	wachtebeke	healthy_13
13_32	2379	3.8574284	51.1701927	wachtebeke	wl_13
13_33	2537	5.6513208	50.8892784	lanaken	healthy_13
13_34	2537	5.6513208	50.8892784	lanaken	wl_13
13_35	2561	3.852132137	50.91972825	sint-lievens-houtem	healthy_13
13_36	2561	3.852132137	50.91972825	sint-lievens-houtem	wl_13
13_37	2653	4.1233014	51.2180687	sint-gillis-waas	healthy_13
13_38	2653	4.1233014	51.2180687	sint-gillis-waas	wl_13
13_39	2855	5.696445	50.9635024	maasmechelen	healthy_13
13_4	1463	4.8245687	50.9841594	aarschot	healthy_13
13_40	2855	5.696445	50.9635024	maasmechelen	wl_13
13_41	608	2.722259264	50.84362245	poperinge	healthy_13
13_42	608	2.722259264	50.84362245	poperinge	wl_13
13_43	163	4.3997081	51.2211097	antwerpen	wl_13
